category,value,count
artists,Unknown Artist,303
artists,Unknown,296
artists,Richard Hunt,148
artists,Dorothy Gillespie,106
artists,Paul Caponigro,97
artists,Marion Post-Wolcott,75
artists,George Elbert Burr,71
artists,Susan Crocker,65
artists,Detroit Publishing Company,64
artists,David McShane,57
artists,Eric Okdeh,55
artists,Leticia Huerta,50
artists,Carolyn Braaksma,43
artists,David Noble,43
artists,Garo Antreasian,41
artists,Brad J. Goldberg,41
artists,Ed Carpenter,40
artists,Ernel Martinez,40
artists,Henk Pander,40
artists,Miguel Gandert,40
artists,Barbara Grygutis,40
artists,Gary Drostle,39
artists,Frank Boyden,38
artists,Howard Stoyell Sewall,38
artists,Paul Santoleri,38
artists,Donald Lipski,37
artists,Gillie and Marc,37
artists,Parris Stancell,37
artists,Gordon Huether,36
artists,Shira Walinsky,36
artists,Edward Curtis,35
artists,Jane Golden,35
artists,Dennis Cunningham,35
artists,Craig Smith,35
artists,Cliff Garten,34
artists,Rich Rollins,34
artists,Vicki Scuri,34
artists,Wes Hardin,34
artists,Cesar Viveros,33
artists,Ray King,33
artists,Jon Barlow Hudson,31
artists,Bill Morrish,30
artists,Ernesto Maranje,30
artists,Krista Elrick,30
artists,Larry Kirkland,30
artists,Brad Carney,29
artists,Robert DiFranco,29
artists,Wayne Alaniz Healy,29
artists,Sherrie Wolf,28
artists,George Johanson,28
artists,Rick Bartow,27
artists,"Carlos ""Calo"" Rosa",27
artists,Eric Edwards,27
artists,Grover Mouton,27
artists,Joseph O'Connell (Creative Machines),27
artists,Ken Williams,27
artists,Matthew Geller,27
artists,Ball-Nogues Studio,27
artists,Concrete Couch,26
artists,Debbie Fleming Caffrey,26
artists,Kien Nguyen,26
artists,Mags Harries,26
artists,Stephen Farley,26
artists,Various Artists,26
artists,Lajos Heder,25
artists,Ned Kahn,25
artists,Robin Brailsford,25
artists,Julie Rezac van Mierlo,25
artists,James Lavadour,25
artists,Alexander Calder,24
artists,Bryon Darby,24
artists,Buster Simpson,24
artists,David Guinn,24
artists,Georgia Gerber,24
artists,James Burns,24
artists,Ralph Helmick,24
artists,Tad Savinar,24
artists,Janet Echelman,23
artists,Terry Toedtemeier,23
artists,Peter Pagast,23
artists,Patrick Madigan,23
artists,Lauren Olson,23
artists,Michael Lundgren,23
artists,Eurhi Jones,23
artists,Dietrich L. Adonis,23
artists,Blessing Hancock,23
artists,Beliz Brother,23
artists,Aaron Siskind,23
artists,Kevin Berry,22
artists,Phillip Adams,22
artists,Michihiro Kosuge,22
artists,Josh Sarantitis,22
artists,Jeanne Moment,22
artists,George Peters,22
artists,Francis Harlow,22
artists,Felix St. Fort,22
artists,Jonathan Laidacker,21
artists,Tim Prentice,21
artists,Satoru Abe,21
artists,Peter Yenne,21
artists,Judith Poxson Fawkes,21
artists,Joe Tyler,21
artists,Elizabeth Devereaux,21
artists,Communication Arts,21
artists,Christopher Colville,21
artists,Bruce West,21
artists,Andy Dufford,21
artists,Harold Edgerton,21
artists,Michelle Angela Ortiz,20
artists,Michael Brown,20
artists,"Willis ""Nomo"" Humphrey",20
artists,Wayne Chabre,20
artists,W. Eugene Smith,20
artists,Susan Cooper,20
artists,Simon Toparovsky,20
artists,Philip Bews,20
artists,Paho Mann,20
artists,Norie Sato,20
artists,Mary Josephson,20
artists,Marilyn Szabo,20
artists,Josh Tripoli,20
artists,Jim Collins,20
artists,Greg Preslicka,20
artists,Diane Gorvin,20
artists,Denzil Hurley,20
artists,David Griggs,20
artists,Bews Gorvin,20
artists,BJ Krivanek,20
artists,Nathaniel Lee,19
artists,Marlene Bauer,19
artists,Missy Miles,19
artists,Molly Mason,19
artists,Lucinda Parker,19
artists,Rebekah Lewis,19
artists,Shaun Cassidy,19
artists,William Park,19
artists,Lupoli Collective,19
artists,Roberto Delgado,19
artists,Lillian Pitt,19
artists,Jane DeDecker,19
artists,James B. Thompson,19
artists,Jack Archibald,19
artists,Howard Meehan,19
artists,Armin Muhsam,19
artists,David Franklin,19
artists,Betsy Z. Casañas,19
artists,Kathy Bradford,19
artists,Joel Breaux,18
artists,Susannah Israel,18
artists,Solomon Bassoff - Faducci,18
artists,Mary Lucking,18
artists,Lee Kelly,18
artists,Gabe Tiberino,18
artists,Intisar Abioto,18
artists,Claire Trotter,18
artists,Anne Storrs,18
artists,Alan Paine Radebaugh,18
artists,Aaron T. Stephan,18
artists,Fernanda D'Agostino,17
artists,Walter Chappell,17
artists,Sam Comen,17
artists,Laurie Lundquist,17
artists,Jackie Ferrara,17
artists,Ilan Averbuch,17
artists,Betty Dodson,17
artists,Dixie Friend-Gay,17
artists,Delia King,17
artists,Dan Snyder,17
artists,Dan Corson,17
artists,Christy Wyckoff,17
artists,Janette K. Hopper,16
artists,Valerie Theberge,16
artists,Tina Murano,16
artists,Rebecca Ross,16
artists,Margot Voorhies Thompson,16
artists,Marcus Fetch,16
artists,John Early,16
artists,Jeremy Okai Davis,16
artists,Jack Portland,16
artists,Greg Reiche,16
artists,Greg A. Robinson,16
artists,Electroland LLC,16
artists,Edward Wong,16
artists,Craig Hickman,16
artists,Chris Rainier,16
artists,Cavin Jones,16
artists,Bumpei Akaji,16
artists,Ana Uribe,16
artists,Mark Grieve,15
artists,John Rogers,15
artists,Kwadwo Adae,15
artists,John Lewis,15
artists,Mike Smash,15
artists,Nilé Livingston,15
artists,Ray Belcher,15
artists,Jared Bader,15
artists,Rob Ley,15
artists,Goodwin Harding,15
artists,James Turrell,15
artists,Gregory Todd,15
artists,Garth Edwards,15
artists,Erin Dorney,15
artists,Eliseo Art Silva,15
artists,EW Smith,15
artists,Cliff Eubanks,15
artists,Chris Brown,15
artists,Bruce Taylor,15
artists,Linda Wysong,14
artists,Margaret Prentice,14
artists,Matt Babcock,14
artists,Roger Asay,14
artists,Samantha Wall,14
artists,Joellyn Duesberry,14
artists,Seyed Alavi,14
artists,Sheryl Funkhouser,14
artists,Simon Donovan,14
artists,Susan Gott,14
artists,Suzanne Duryea,14
artists,"Will ""Kasso"" Condry",14
artists,Juan Navarrete,14
artists,David Dahlquist,14
artists,Janet Zweig,14
artists,Clyde Butcher,14
artists,Glenna Goodacre,14
artists,Adam Kuby,14
artists,Adam McIsaac,14
artists,Catherine Widgery,14
artists,Benjamin Volta,14
artists,Dale Chihuly,14
artists,David Scharf,14
artists,David Woods,14
artists,Elizabeth Mapelli,14
artists,Garrick Imatani,14
artists,Pam Beyette,13
artists,Lawrence Shlim,13
artists,Marie-Josée Leroux/Lerou,13
artists,Melanie Walker,13
artists,Michael Amescua,13
artists,Morrie Camhi,13
artists,Oliverio Balcells,13
artists,Terri Warpinski,13
artists,Patricia Gould,13
artists,Patrick Marold,13
artists,Paul Marioni,13
artists,Stacy Levy,13
artists,Suikang Zhao,13
artists,Kirk Gittings,13
artists,Thomas Sayre,13
artists,Virginia Maria Romero,13
artists,Lars Stanley,13
artists,Marjorie McDonald,13
artists,Kent Miles,13
artists,Evelyn Rosenberg,13
artists,Kenny Davis,13
artists,Allan Bruce Zee,13
artists,Bill Kucha,13
artists,Carlo Ciampaglia,13
artists,Claes Oldenburg,13
artists,Donald Gensler,13
artists,Donna Billick,13
artists,Christopher Weed,13
artists,George Lundeen,13
artists,Ioana Urma,13
artists,Jesús Moroles,13
artists,Joan Baron,13
artists,John Parker,13
artists,John Raimondi,13
artists,John Spence,13
artists,Michael Brophy,12
artists,John Randall Nelson,12
artists,Keith Carter,12
artists,Larry Kanfer,12
artists,Laura Ross-Paul,12
artists,Marilyn Pitney,12
artists,Mark Abildgaard,12
artists,Mary Coss,12
artists,Meg Saligman,12
artists,Valerie Otani,12
artists,Mikyoung Kim,12
artists,Patricia Navarrete,12
artists,Patty Arnold,12
artists,Prince George's County Public Schools,12
artists,Ralph Steiner,12
artists,Rebecca Ekstrand,12
artists,Robert Tully,12
artists,Samantha Smith,12
artists,Jim Gallucci,12
artists,Joan Weissman,12
artists,Eino Romppanen,12
artists,Jennifer Geiger,12
artists,Carolyn Law,12
artists,Alice Adams,12
artists,Alice Aycock,12
artists,Allen Dodge,12
artists,Anna Valentina Murch,12
artists,Barbara Black,12
artists,Beverly Pepper,12
artists,Brad Howe,12
artists,Carol Poppenga,12
artists,Gloria Baker Feinstein,12
artists,Christian Petersen,12
artists,David Nez,12
artists,Day Christensen,12
artists,Douglas Hollis,12
artists,Eileen Gay,12
artists,Alex Hirsch,12
artists,Geoffrey Pagen,12
artists,David Lee Csicsko,12
artists,Maria Alquilar,11
artists,Michael Semsch,11
artists,Michael Riley,11
artists,Jonny Buss,11
artists,Louis Ocepek,11
artists,Karen Kuehn,11
artists,Kana Tanaka,11
artists,Nina Solomon,11
artists,Michael Singer,11
artists,Po Shu Wang,11
artists,Pam Patrie,11
artists,Pete Beeman,11
artists,Philadelphia Anti-Graffiti Network (PAGN),11
artists,Reven Marie Swanson,11
artists,Sabina Haque,11
artists,Sean K.L. Browne,11
artists,Shan Shan Sheng,11
